Time_ms,ax,ay,az
1772930396478.204,0.0064,-0.6951,-0.6897
1772930396478.204,0.0082,-0.6942,-0.6898
1772930396493.4446,0.0082,-0.6931,-0.6952
1772930396493.4446,0.0071,-0.6881,-0.6915
1772930396493.4446,0.0096,-0.6884,-0.6939
1772930396493.4446,0.0101,-0.6852,-0.6934
1772930396493.4446,0.0113,-0.6872,-0.6909
1772930396493.4446,0.0113,-0.6858,-0.6924
1772930396493.4446,0.0127,-0.687,-0.6922
1772930396493.4446,0.0152,-0.6866,-0.6899
1772930396509.036,0.0125,-0.6863,-0.6894
1772930396509.036,0.0141,-0.6861,-0.6884
1772930396509.036,0.0165,-0.6866,-0.6904
1772930396509.036,0.031,-0.688,-0.6902
1772930396509.036,0.0182,-0.688,-0.6918
1772930396509.036,0.0171,-0.6882,-0.6889
1772930396509.036,0.017,-0.6877,-0.6871
1772930396509.036,0.0188,-0.6869,-0.6837
1772930396524.9023,0.0228,-0.6867,-0.6828
1772930396524.9023,0.0249,-0.6898,-0.6859
1772930396524.9023,0.0253,-0.6877,-0.684
1772930396524.9023,0.0246,-0.6881,-0.6828
1772930396524.9023,0.0273,-0.6882,-0.6808
1772930396524.9023,0.0279,-0.688,-0.6802
1772930396524.9023,0.0295,-0.6888,-0.682
1772930396524.9023,0.0257,-0.6906,-0.6806
1772930396540.964,0.0265,-0.6932,-0.68
1772930396540.964,0.0262,-0.6954,-0.6814
1772930396540.964,0.024,-0.6973,-0.6827
1772930396540.964,0.0209,-0.6945,-0.6846
1772930396540.964,0.0237,-0.6958,-0.6841
1772930396540.964,0.0226,-0.6962,-0.6819
1772930396540.964,0.0244,-0.6992,-0.6808
1772930396540.964,0.0248,-0.6988,-0.679
1772930396557.0679,0.0212,-0.6995,-0.68
1772930396557.0679,0.0192,-0.7043,-0.6766
1772930396557.0679,0.0182,-0.7047,-0.6827
1772930396557.0679,0.0138,-0.7052,-0.6815
1772930396557.0679,0.0112,-0.7052,-0.6844
1772930396573.2827,0.0108,-0.7037,-0.6863
1772930396573.2827,0.0098,-0.7022,-0.6839
1772930396573.2827,0.0043,-0.7019,-0.6915
1772930396573.2827,0.0043,-0.7,-0.6727
1772930396573.2827,0.0041,-0.6995,-0.6875
1772930396573.2827,0.004,-0.6967,-0.6929
1772930396573.2827,0.0032,-0.7003,-0.693
1772930396573.2827,0.0003,-0.6969,-0.6933
1772930396589.342,0.0002,-0.6955,-0.6925
1772930396589.342,0.0007,-0.6953,-0.6954
1772930396589.342,-0.0022,-0.6949,-0.6935
1772930396589.342,-0.0015,-0.6909,-0.6966
1772930396589.342,0.0,-0.6913,-0.6951
1772930396589.342,-0.0018,-0.692,-0.6944
1772930396589.342,0.0018,-0.6914,-0.6947
1772930396589.342,0.0032,-0.6898,-0.696
1772930396604.57,0.0091,-0.688,-0.6927
1772930396604.57,0.0086,-0.6905,-0.6899
1772930396604.57,0.0104,-0.6911,-0.6918
1772930396604.57,0.0131,-0.6931,-0.6859
1772930396604.57,0.0129,-0.6963,-0.6833
1772930396604.57,0.0162,-0.7028,-0.6719
1772930396604.57,0.0217,-0.7092,-0.6644
1772930396604.57,0.0218,-0.7088,-0.6651
1772930396620.0762,0.0256,-0.7057,-0.6661
1772930396620.0762,0.0289,-0.7038,-0.6742
1772930396620.0762,0.0192,-0.6976,-0.6686
1772930396620.0762,0.0144,-0.6952,-0.6684
1772930396620.0762,0.0152,-0.6889,-0.6737
1772930396620.0762,0.0143,-0.6891,-0.6802
1772930396620.0762,0.0127,-0.6869,-0.6833
1772930396620.0762,0.008,-0.6856,-0.694
1772930396635.722,0.0043,-0.6838,-0.7073
1772930396635.722,0.0012,-0.6809,-0.7111
1772930396635.722,-0.0076,-0.6744,-0.7116
