Time_ms,ax,ay,az,gx,gy,gz
1772976573759.2087,-0.9665,-0.1248,-0.098,3.308,-5.6,-1.076
1772976573759.2087,-0.9678,-0.1249,-0.098,3.255,-5.679,-1.006
1772976573759.2087,-0.9706,-0.125,-0.0971,3.185,-5.53,-1.094
1772976573759.2087,-0.9687,-0.1236,-0.0953,3.299,-5.346,-1.015
1772976573759.2087,-0.9684,-0.1259,-0.0968,3.167,-5.407,-0.796
1772976573759.2087,-0.9712,-0.1249,-0.0994,3.15,-5.268,-0.84
1772976573759.2087,-0.971,-0.125,-0.0992,3.08,-5.075,-0.989
1772976573759.2087,-0.9701,-0.1245,-0.1012,3.237,-4.961,-0.787
1772976573759.2087,-0.9693,-0.1232,-0.0992,3.281,-5.232,-1.076
1772976573759.2087,-0.9708,-0.1237,-0.1013,3.019,-5.075,-0.954
1772976573759.2087,-0.9716,-0.1216,-0.1042,3.159,-4.786,-0.945
1772976573759.2087,-0.9726,-0.1221,-0.1019,2.861,-4.83,-0.796
1772976573759.2087,-0.9706,-0.1202,-0.1022,2.966,-5.128,-0.884
1772976573774.7273,-0.9694,-0.1212,-0.1034,2.8,-5.049,-1.103
1772976573774.7273,-0.9719,-0.1225,-0.1032,2.73,-5.049,-1.164
1772976573774.7273,-0.9721,-0.1212,-0.1025,2.922,-5.162,-1.137
1772976573774.7273,-0.9722,-0.122,-0.1047,2.966,-4.839,-1.242
1772976573774.7273,-0.9726,-0.1217,-0.1055,2.922,-4.83,-1.295
1772976573774.7273,-0.9726,-0.1221,-0.1013,2.844,-5.005,-1.242
1772976573774.7273,-0.9723,-0.1238,-0.1025,2.861,-4.918,-1.514
1772976573774.7273,-0.9745,-0.1231,-0.1019,2.765,-4.874,-1.496
1772976573774.7273,-0.9749,-0.1246,-0.0997,2.783,-4.952,-1.365
1772976573774.7273,-0.9742,-0.1258,-0.0967,2.643,-4.716,-1.89
1772976573774.7273,-0.9726,-0.1263,-0.0975,2.538,-4.821,-1.951
1772976573774.7273,-0.9749,-0.1245,-0.0944,2.87,-4.638,-1.986
1772976573790.2554,-0.9742,-0.1254,-0.0951,3.01,-4.393,-1.811
1772976573790.2554,-0.9748,-0.1266,-0.0991,3.045,-4.445,-1.846
1772976573790.2554,-0.9751,-0.1261,-0.0972,2.905,-4.524,-2.021
1772976573790.2554,-0.9737,-0.128,-0.0984,2.748,-4.655,-2.1
1772976573790.2554,-0.9765,-0.1274,-0.0972,2.896,-4.655,-2.328
1772976573790.2554,-0.9764,-0.1265,-0.1002,2.958,-4.594,-2.188
1772976573790.2554,-0.9744,-0.1267,-0.0991,3.045,-4.471,-2.301
1772976573790.2554,-0.975,-0.1266,-0.1,3.124,-4.497,-2.292
1772976573790.2554,-0.9761,-0.1283,-0.0989,2.975,-4.401,-2.214
1772976573790.2554,-0.9741,-0.1284,-0.1,2.853,-4.419,-2.17
1772976573790.2554,-0.9758,-0.1283,-0.1013,2.914,-4.646,-2.389
1772976573790.2554,-0.9778,-0.1269,-0.1017,3.019,-4.848,-2.441
1772976573790.2554,-0.9756,-0.1297,-0.1011,3.106,-4.489,-2.476
1772976573805.7786,-0.9772,-0.1304,-0.0997,2.993,-4.638,-2.555
1772976573805.7786,-0.977,-0.1316,-0.1025,2.791,-4.891,-2.485
1772976573805.7786,-0.9776,-0.1285,-0.1006,2.905,-4.664,-2.599
1772976573805.7786,-0.9756,-0.1326,-0.1024,3.001,-4.611,-2.555
1772976573805.7786,-0.9786,-0.1292,-0.1013,2.826,-4.699,-2.599
1772976573805.7786,-0.979,-0.1299,-0.1022,2.853,-4.961,-2.459
1772976573805.7786,-0.9782,-0.1291,-0.1001,3.036,-4.821,-2.59
1772976573805.7786,-0.9786,-0.1307,-0.1019,2.949,-4.9,-2.38
1772976573805.7786,-0.9795,-0.1307,-0.1015,2.712,-4.848,-2.538
1772976573805.7786,-0.9793,-0.1307,-0.1022,2.949,-5.022,-2.476
1772976573805.7786,-0.9783,-0.1302,-0.1011,2.712,-5.031,-2.223
1772976573805.7786,-0.9806,-0.1297,-0.1012,2.555,-4.9,-2.266
1772976573805.7786,-0.9811,-0.1273,-0.1013,2.52,-5.171,-2.126
1772976573820.7993,-0.9844,-0.1282,-0.1003,2.467,-4.926,-2.1
1772976573820.7993,-0.9848,-0.1307,-0.1013,2.397,-4.935,-2.126
1772976573820.7993,-0.9855,-0.1305,-0.1015,2.476,-4.891,-2.135
1772976573820.7993,-0.9843,-0.1282,-0.1027,2.389,-4.865,-1.698
1772976573820.7993,-0.9837,-0.1268,-0.0996,2.669,-4.935,-1.925
1772976573820.7993,-0.9846,-0.1309,-0.1039,2.625,-5.075,-1.995
1772976573820.7993,-0.9845,-0.1311,-0.1067,2.345,-4.926,-1.942
1772976573820.7993,-0.9844,-0.1297,-0.1035,2.389,-5.022,-1.802
1772976573820.7993,-0.9842,-0.1292,-0.1041,2.634,-5.04,-1.864
1772976573820.7993,-0.9842,-0.1284,-0.1069,2.529,-4.891,-1.925
1772976573820.7993,-0.9839,-0.1299,-0.1086,2.529,-4.97,-1.776
1772976573820.7993,-0.9837,-0.1305,-0.1042,2.529,-4.961,-1.881
1772976573836.8376,-0.9836,-0.127,-0.1051,2.634,-5.145,-1.934
1772976573836.8376,-0.9819,-0.1305,-0.1028,2.319,-4.856,-1.899
1772976573836.8376,-0.9844,-0.1296,-0.1063,2.433,-5.049,-1.68
