Time_ms,ax,ay,az,gx,gy,gz
1772934800282.2983,0.0178,-0.5302,-0.8196,4.34,-4.638,-1.96
1772934800282.2983,0.0192,-0.5312,-0.8209,4.296,-4.287,-1.864
1772934800282.2983,0.0212,-0.5328,-0.8198,4.156,-4.13,-1.916
1772934800282.2983,0.0232,-0.5302,-0.8233,3.999,-4.261,-1.802
1772934800282.2983,0.0206,-0.5312,-0.8199,4.279,-4.279,-1.811
1772934800282.2983,0.0211,-0.5312,-0.8203,4.34,-4.095,-1.654
1772934800282.2983,0.0229,-0.5335,-0.8183,4.322,-4.043,-1.82
1772934800282.2983,0.0203,-0.5336,-0.8165,4.41,-3.973,-1.601
1772934800282.2983,0.0227,-0.5338,-0.8212,4.008,-4.165,-1.514
1772934800282.2983,0.022,-0.532,-0.8164,4.331,-4.27,-1.522
1772934800282.2983,0.0208,-0.5337,-0.8217,4.699,-3.806,-1.768
1772934800282.2983,0.0218,-0.5354,-0.821,4.655,-4.287,-1.89
1772934800282.2983,0.0225,-0.535,-0.8217,4.751,-4.226,-1.575
1772934800282.2983,0.0254,-0.5352,-0.8217,4.707,-4.034,-1.619
1772934800297.3354,0.0224,-0.5358,-0.8209,4.585,-4.016,-1.601
1772934800297.3354,0.0245,-0.5356,-0.8234,4.839,-4.025,-1.505
1772934800297.3354,0.0201,-0.5361,-0.8233,5.232,-4.008,-1.549
1772934800297.3354,0.0231,-0.535,-0.8228,4.926,-4.13,-1.654
1772934800297.3354,0.0225,-0.5321,-0.8208,4.734,-3.78,-1.61
1772934800297.3354,0.0203,-0.5348,-0.8215,5.136,-3.666,-1.61
1772934800297.3354,0.0207,-0.5334,-0.8237,5.162,-3.868,-1.768
1772934800297.3354,0.0188,-0.5341,-0.8209,5.049,-4.043,-1.776
1772934800297.3354,0.0187,-0.5353,-0.8229,5.442,-4.077,-1.575
1772934800297.3354,0.0182,-0.5341,-0.822,5.031,-3.78,-1.584
1772934800297.3354,0.018,-0.5348,-0.825,4.891,-3.771,-1.522
1772934800297.3354,0.0162,-0.535,-0.825,5.425,-4.025,-1.75
1772934800312.9033,0.0184,-0.5355,-0.82,5.197,-4.104,-1.654
1772934800312.9033,0.0154,-0.5337,-0.8226,5.04,-3.833,-1.549
1772934800312.9033,0.0156,-0.535,-0.8223,5.11,-3.771,-1.505
1772934800312.9033,0.0159,-0.5353,-0.8217,5.285,-3.964,-1.829
1772934800312.9033,0.0163,-0.5342,-0.8244,5.303,-4.279,-1.942
1772934800312.9033,0.0148,-0.5352,-0.8231,5.294,-4.27,-1.829
1772934800312.9033,0.0137,-0.5352,-0.8211,5.285,-4.34,-1.785
1772934800312.9033,0.0143,-0.5361,-0.8233,4.909,-4.069,-1.549
1772934800312.9033,0.0159,-0.5339,-0.823,4.918,-3.99,-1.759
1772934800312.9033,0.0143,-0.5348,-0.8209,5.162,-3.885,-1.724
1772934800312.9033,0.0134,-0.5347,-0.8236,5.066,-4.086,-1.706
1772934800312.9033,0.0141,-0.5348,-0.8225,4.918,-3.964,-1.881
1772934800329.3047,0.0143,-0.534,-0.8221,4.725,-3.868,-1.829
1772934800329.3047,0.011,-0.5345,-0.8254,4.795,-4.06,-1.855
1772934800329.3047,0.0117,-0.5364,-0.8209,4.909,-4.051,-1.916
1772934800329.3047,0.0127,-0.5364,-0.8248,4.707,-4.209,-1.934
1772934800329.3047,0.0112,-0.5389,-0.8256,4.769,-4.384,-1.829
1772934800329.3047,0.0107,-0.5373,-0.8247,4.786,-4.016,-2.214
1772934800329.3047,0.0117,-0.5376,-0.8251,4.839,-4.095,-2.126
1772934800329.3047,0.0107,-0.5352,-0.8261,5.022,-4.559,-1.881
1772934800329.3047,0.0109,-0.5366,-0.8259,4.742,-4.401,-1.82
1772934800329.3047,0.0093,-0.5377,-0.8259,4.786,-4.428,-1.899
1772934800329.3047,0.0088,-0.5358,-0.8262,4.883,-3.973,-1.864
1772934800329.3047,0.0079,-0.5354,-0.8242,4.786,-4.191,-2.047
1772934800329.3047,0.0076,-0.5366,-0.8275,4.734,-4.218,-1.759
1772934800329.3047,0.0096,-0.5361,-0.8278,4.76,-4.322,-1.724
1772934800344.839,0.0078,-0.537,-0.8287,4.603,-4.287,-1.776
1772934800344.839,0.0096,-0.5355,-0.8278,4.463,-3.999,-1.531
1772934800344.839,0.0097,-0.5358,-0.8264,4.638,-3.911,-1.855
1772934800344.839,0.0097,-0.539,-0.8266,4.559,-3.797,-1.837
1772934800344.839,0.0088,-0.5405,-0.8275,4.401,-3.824,-1.671
1772934800344.839,0.0073,-0.5388,-0.8247,4.296,-3.763,-1.671
1772934800344.839,0.0076,-0.5419,-0.828,4.55,-3.885,-1.794
1772934800344.839,0.0098,-0.5392,-0.8303,4.375,-3.973,-1.566
1772934800344.839,0.009,-0.5394,-0.8286,4.2,-4.069,-1.768
1772934800344.839,0.0077,-0.5378,-0.8278,4.428,-4.06,-1.444
1772934800344.839,0.0109,-0.5366,-0.8293,4.218,-3.92,-1.111
1772934800344.839,0.0104,-0.5373,-0.8301,4.034,-4.051,-1.094
1772934800360.5745,0.0107,-0.5367,-0.8284,3.815,-3.929,-1.155
1772934800360.5745,0.0111,-0.5342,-0.8266,4.008,-4.034,-1.173
1772934800360.5745,0.0112,-0.5372,-0.8283,4.008,-4.314,-1.137
1772934800360.5745,0.0117,-0.535,-0.8301,4.13,-3.78,-0.884
1772934800360.5745,0.0116,-0.5357,-0.8253,4.025,-3.911,-0.989
1772934800360.5745,0.0136,-0.5344,-0.8245,3.85,-4.104,-0.963
1772934800360.5745,0.013,-0.5368,-0.8238,3.605,-3.71,-0.875
1772934800360.5745,0.015,-0.5383,-0.8241,3.675,-3.946,-1.094
1772934800360.5745,0.0142,-0.5363,-0.8246,3.649,-3.973,-1.024
1772934800360.5745,0.0136,-0.5374,-0.8198,4.008,-3.92,-1.225
1772934800360.5745,0.0184,-0.5392,-0.8207,4.069,-4.034,-1.208
1772934800360.5745,0.0146,-0.5383,-0.8228,3.999,-4.287,-0.945
1772934800360.5745,0.0171,-0.5394,-0.819,3.815,-4.13,-1.076
1772934800376.253,0.0148,-0.5396,-0.8176,3.623,-3.946,-0.971
1772934800376.253,0.0164,-0.5397,-0.8184,3.605,-3.824,-0.892
1772934800376.253,0.019,-0.539,-0.8179,3.701,-4.016,-0.866
1772934800376.253,0.0222,-0.5425,-0.815,3.789,-4.27,-1.032
1772934800376.253,0.0213,-0.5402,-0.8164,3.797,-4.043,-1.103
1772934800376.253,0.0215,-0.5392,-0.816,3.692,-3.797,-0.954
1772934800376.253,0.0211,-0.5373,-0.819,3.789,-3.64,-0.963
1772934800376.253,0.0233,-0.5384,-0.8151,3.719,-3.815,-0.805
1772934800376.253,0.0218,-0.5374,-0.8147,3.736,-3.797,-0.709
1772934800376.253,0.0249,-0.538,-0.8132,3.78,-3.815,-1.067
1772934800376.253,0.0257,-0.5398,-0.8147,3.78,-3.894,-0.823
1772934800376.253,0.0237,-0.5384,-0.812,3.763,-3.824,-1.164
1772934800376.253,0.0229,-0.5386,-0.8158,3.885,-3.684,-0.77
1772934800392.9763,0.0239,-0.5385,-0.8126,4.112,-3.745,-0.831
1772934800392.9763,0.0256,-0.539,-0.8119,3.902,-3.824,-1.015
1772934800392.9763,0.021,-0.5374,-0.8135,3.964,-3.789,-0.875
1772934800392.9763,0.0228,-0.5365,-0.815,4.13,-4.095,-1.094
1772934800392.9763,0.0207,-0.5379,-0.812,4.147,-3.71,-0.963
1772934800392.9763,0.0215,-0.537,-0.812,4.156,-3.5,-0.849
1772934800392.9763,0.0217,-0.5351,-0.8137,4.13,-3.491,-0.936
1772934800392.9763,0.0206,-0.5342,-0.8162,4.226,-3.649,-0.91
1772934800392.9763,0.022,-0.5343,-0.8174,4.48,-3.684,-0.954
1772934800392.9763,0.0219,-0.5336,-0.8159,4.191,-3.316,-0.77
1772934800392.9763,0.0181,-0.5329,-0.819,4.296,-3.071,-0.814
1772934800392.9763,0.018,-0.5317,-0.8185,4.611,-3.43,-0.735
