Timestamp_ms,RawADC,Voltage_mV
26227.0,2479.0,2203.0
26230.0,2596.0,2300.0
26233.0,2690.0,2378.0
26236.0,2766.0,2441.0
26239.0,2819.0,2485.0
26242.0,2838.0,2501.0
26245.0,2840.0,2503.0
26248.0,2807.0,2475.0
26251.0,2727.0,2409.0
26254.0,2622.0,2322.0
26257.0,2502.0,2222.0
26260.0,2369.0,2111.0
26263.0,2235.0,2000.0
26266.0,2120.0,1904.0
26269.0,2013.0,1815.0
26272.0,1943.0,1757.0
26274.0,1920.0,1738.0
26277.0,1942.0,1756.0
26280.0,2007.0,1810.0
26283.0,2140.0,1921.0
26286.0,2325.0,2075.0
26289.0,2565.0,2274.0
26292.0,2863.0,2522.0
26295.0,3288.0,2786.0
26298.0,3890.0,3075.0
26301.0,4095.0,3160.0
26304.0,4095.0,3160.0
26307.0,4095.0,3160.0
26310.0,4095.0,3160.0
26313.0,4095.0,3160.0
26316.0,4095.0,3160.0
26319.0,4095.0,3160.0
26322.0,4095.0,3160.0
26324.0,4095.0,3160.0
26327.0,4095.0,3160.0
26330.0,4095.0,3160.0
26333.0,4095.0,3160.0
26336.0,4095.0,3160.0
26339.0,4095.0,3160.0
26342.0,4095.0,3160.0
26345.0,4094.0,3160.0
26348.0,3691.0,2987.0
26351.0,3061.0,2651.0
26354.0,2583.0,2289.0
26357.0,2189.0,1962.0
26360.0,1846.0,1677.0
26363.0,1556.0,1435.0
26366.0,1320.0,1239.0
26369.0,1152.0,1100.0
26372.0,1028.0,997.0
26375.0,948.0,930.0
26377.0,896.0,887.0
26380.0,870.0,865.0
26383.0,857.0,854.0
26386.0,847.0,846.0
26389.0,830.0,832.0
26392.0,811.0,816.0
26395.0,779.0,790.0
26398.0,717.0,738.0
26401.0,643.0,677.0
26404.0,561.0,608.0
26407.0,448.0,514.0
26410.0,324.0,411.0
26413.0,215.0,321.0
26416.0,108.0,232.0
26419.0,18.0,157.0
26422.0,0.0,142.0
26425.0,0.0,142.0
26427.0,3.0,144.0
26430.0,85.0,213.0
26433.0,254.0,353.0
26436.0,491.0,550.0
26439.0,778.0,789.0
26442.0,1115.0,1069.0
26445.0,1501.0,1390.0
26448.0,1906.0,1726.0
26451.0,2307.0,2060.0
26454.0,2713.0,2397.0
26457.0,3155.0,2709.0
26460.0,3670.0,2977.0
26463.0,4080.0,3154.0
26466.0,4095.0,3160.0
26469.0,4095.0,3160.0
26472.0,4095.0,3160.0
26474.0,4095.0,3160.0
26477.0,4095.0,3160.0
26480.0,4095.0,3160.0
26483.0,4095.0,3160.0
26486.0,4040.0,3137.0
26489.0,3551.0,2922.0
26492.0,3045.0,2641.0
26495.0,2607.0,2309.0
26498.0,2137.0,1918.0
26501.0,1651.0,1514.0
26504.0,1245.0,1177.0
26507.0,839.0,839.0
26510.0,426.0,496.0
26513.0,72.0,202.0
26516.0,0.0,142.0
26519.0,0.0,142.0
26522.0,0.0,142.0
26524.0,0.0,142.0
26527.0,0.0,142.0
26530.0,0.0,142.0
26533.0,0.0,142.0
26536.0,0.0,142.0
26539.0,0.0,142.0
26542.0,0.0,142.0
26545.0,0.0,142.0
26548.0,0.0,142.0
26551.0,0.0,142.0
26554.0,0.0,142.0
26557.0,0.0,142.0
26560.0,21.0,159.0
26563.0,192.0,302.0
26566.0,419.0,490.0
26569.0,637.0,672.0
26571.0,840.0,840.0
26574.0,1043.0,1009.0
26577.0,1234.0,1168.0
26580.0,1389.0,1297.0
26583.0,1519.0,1405.0
26586.0,1633.0,1499.0
26589.0,1712.0,1565.0
26592.0,1761.0,1606.0
26595.0,1778.0,1620.0
26598.0,1776.0,1618.0
26601.0,1740.0,1588.0
26604.0,1686.0,1544.0
26607.0,1609.0,1480.0
26610.0,1512.0,1399.0
26613.0,1399.0,1305.0
26616.0,1277.0,1204.0
26619.0,1145.0,1094.0
26621.0,1011.0,982.0
26624.0,875.0,869.0
26627.0,742.0,759.0
26630.0,612.0,651.0
26633.0,504.0,561.0
26636.0,411.0,484.0
26639.0,323.0,410.0
26642.0,259.0,357.0
26645.0,229.0,332.0
26648.0,213.0,319.0
26651.0,212.0,318.0
26654.0,250.0,350.0
26657.0,311.0,401.0
26660.0,379.0,457.0
26663.0,466.0,529.0
26666.0,581.0,625.0
26669.0,695.0,720.0
26671.0,820.0,824.0
26674.0,955.0,936.0
26677.0,1091.0,1049.0
