Timestamp_ms,RawADC,Voltage_mV
396730.0,4095.0,3160.0
396733.0,4095.0,3160.0
396736.0,4095.0,3160.0
396739.0,4095.0,3160.0
396742.0,4095.0,3160.0
396745.0,4095.0,3160.0
396748.0,4095.0,3160.0
396751.0,4095.0,3160.0
396753.0,4095.0,3160.0
396756.0,4095.0,3160.0
396759.0,4095.0,3160.0
396762.0,4095.0,3160.0
396765.0,4095.0,3160.0
396768.0,4095.0,3160.0
396771.0,4095.0,3160.0
396774.0,4095.0,3160.0
396777.0,4095.0,3160.0
396780.0,4095.0,3160.0
396783.0,4095.0,3160.0
396786.0,4095.0,3160.0
396789.0,4095.0,3160.0
396792.0,4095.0,3160.0
396795.0,4095.0,3160.0
396798.0,4095.0,3160.0
396801.0,4095.0,3160.0
396804.0,4095.0,3160.0
396806.0,4095.0,3160.0
396809.0,4095.0,3160.0
396812.0,4095.0,3160.0
396815.0,4095.0,3160.0
396818.0,4095.0,3160.0
396821.0,4095.0,3160.0
396824.0,4095.0,3160.0
396827.0,4095.0,3160.0
396830.0,4095.0,3160.0
396833.0,4095.0,3160.0
396836.0,4095.0,3160.0
396839.0,4095.0,3160.0
396842.0,4095.0,3160.0
396845.0,4095.0,3160.0
396848.0,4095.0,3160.0
396851.0,4095.0,3160.0
396854.0,4095.0,3160.0
396857.0,4095.0,3160.0
396859.0,4095.0,3160.0
396862.0,4095.0,3160.0
396865.0,4095.0,3160.0
396868.0,4095.0,3160.0
396871.0,4095.0,3160.0
396874.0,4095.0,3160.0
396877.0,4095.0,3160.0
396880.0,4095.0,3160.0
396883.0,4095.0,3160.0
396886.0,4095.0,3160.0
396889.0,4095.0,3160.0
396892.0,4095.0,3160.0
396895.0,4095.0,3160.0
396898.0,4095.0,3160.0
396901.0,4095.0,3160.0
396904.0,4095.0,3160.0
396907.0,4095.0,3160.0
396910.0,4095.0,3160.0
396913.0,4095.0,3160.0
396915.0,4095.0,3160.0
396918.0,4095.0,3160.0
396921.0,4095.0,3160.0
396924.0,4095.0,3160.0
396927.0,4095.0,3160.0
396930.0,4095.0,3160.0
396933.0,4095.0,3160.0
396936.0,4095.0,3160.0
396939.0,4095.0,3160.0
396942.0,4095.0,3160.0
396945.0,4095.0,3160.0
396948.0,4095.0,3160.0
396951.0,4095.0,3160.0
396954.0,4095.0,3160.0
396957.0,4095.0,3160.0
396960.0,4095.0,3160.0
396963.0,4095.0,3160.0
396966.0,4095.0,3160.0
396968.0,4095.0,3160.0
396971.0,4095.0,3160.0
396974.0,4095.0,3160.0
396977.0,4095.0,3160.0
396980.0,4095.0,3160.0
396983.0,4095.0,3160.0
396986.0,4095.0,3160.0
396989.0,4095.0,3160.0
396992.0,4095.0,3160.0
396995.0,4095.0,3160.0
396998.0,4095.0,3160.0
397001.0,4095.0,3160.0
397004.0,4095.0,3160.0
397007.0,4095.0,3160.0
397010.0,4095.0,3160.0
397013.0,4095.0,3160.0
397016.0,4095.0,3160.0
397019.0,4095.0,3160.0
397021.0,4095.0,3160.0
397024.0,4095.0,3160.0
397027.0,4095.0,3160.0
397030.0,4095.0,3160.0
397033.0,4095.0,3160.0
397036.0,4095.0,3160.0
397039.0,4095.0,3160.0
397042.0,4095.0,3160.0
397045.0,4095.0,3160.0
397048.0,4095.0,3160.0
397051.0,4095.0,3160.0
397054.0,4095.0,3160.0
397057.0,4095.0,3160.0
397060.0,4095.0,3160.0
397063.0,4095.0,3160.0
397066.0,4095.0,3160.0
397069.0,4095.0,3160.0
397072.0,4095.0,3160.0
397074.0,4095.0,3160.0
397077.0,4095.0,3160.0
397080.0,4095.0,3160.0
397083.0,4095.0,3160.0
397086.0,4095.0,3160.0
397089.0,4095.0,3160.0
397092.0,4095.0,3160.0
397095.0,4095.0,3160.0
397098.0,4095.0,3160.0
397101.0,4095.0,3160.0
397104.0,4095.0,3160.0
397107.0,4095.0,3160.0
397110.0,4095.0,3160.0
397113.0,4095.0,3160.0
397116.0,4095.0,3160.0
397119.0,4095.0,3160.0
397122.0,4095.0,3160.0
397125.0,4095.0,3160.0
397127.0,4095.0,3160.0
397130.0,4095.0,3160.0
397133.0,4095.0,3160.0
397136.0,4095.0,3160.0
397139.0,4095.0,3160.0
397142.0,4095.0,3160.0
397145.0,4095.0,3160.0
397148.0,4095.0,3160.0
397151.0,4095.0,3160.0
397154.0,4095.0,3160.0
397157.0,4095.0,3160.0
397160.0,4095.0,3160.0
397163.0,4095.0,3160.0
397166.0,4095.0,3160.0
397169.0,4095.0,3160.0
397172.0,4095.0,3160.0
397175.0,4095.0,3160.0
397178.0,4095.0,3160.0
397180.0,4095.0,3160.0
397183.0,4095.0,3160.0
397186.0,4095.0,3160.0
397189.0,4095.0,3160.0
397192.0,4095.0,3160.0
397195.0,4095.0,3160.0
397198.0,4095.0,3160.0
397201.0,4095.0,3160.0
397204.0,4095.0,3160.0
397207.0,4095.0,3160.0
397210.0,4095.0,3160.0
397213.0,4095.0,3160.0
397216.0,4095.0,3160.0
397219.0,4095.0,3160.0
397222.0,4095.0,3160.0
397225.0,4095.0,3160.0
397228.0,4095.0,3160.0
397231.0,4095.0,3160.0
397233.0,4095.0,3160.0
397236.0,4095.0,3160.0
397239.0,4095.0,3160.0
397242.0,4095.0,3160.0
397245.0,4095.0,3160.0
397248.0,4095.0,3160.0
397251.0,4095.0,3160.0
397254.0,4095.0,3160.0
397257.0,4095.0,3160.0
397260.0,4095.0,3160.0
397263.0,4095.0,3160.0
397266.0,4095.0,3160.0
397269.0,4095.0,3160.0
397272.0,4095.0,3160.0
397275.0,4095.0,3160.0
397278.0,4095.0,3160.0
397281.0,4095.0,3160.0
397284.0,4095.0,3160.0
397286.0,4095.0,3160.0
397289.0,4095.0,3160.0
397292.0,4095.0,3160.0
397295.0,4095.0,3160.0
397298.0,4095.0,3160.0
397301.0,4095.0,3160.0
397304.0,4095.0,3160.0
397307.0,4095.0,3160.0
397310.0,4095.0,3160.0
397313.0,4095.0,3160.0
397316.0,4095.0,3160.0
397319.0,4095.0,3160.0
397322.0,4095.0,3160.0
397325.0,4095.0,3160.0
397328.0,4095.0,3160.0
397331.0,4095.0,3160.0
397334.0,4095.0,3160.0
397337.0,4095.0,3160.0
397340.0,4095.0,3160.0
397342.0,4095.0,3160.0
397345.0,4095.0,3160.0
397348.0,4095.0,3160.0
397351.0,4095.0,3160.0
397354.0,4095.0,3160.0
397357.0,4095.0,3160.0
397360.0,4095.0,3160.0
397363.0,4095.0,3160.0
397366.0,4095.0,3160.0
397369.0,4095.0,3160.0
397372.0,4095.0,3160.0
397375.0,4095.0,3160.0
397378.0,4095.0,3160.0
397381.0,4095.0,3160.0
397384.0,4095.0,3160.0
397387.0,4095.0,3160.0
397390.0,4095.0,3160.0
397393.0,4095.0,3160.0
397395.0,4095.0,3160.0
397398.0,4095.0,3160.0
397401.0,4095.0,3160.0
397404.0,4095.0,3160.0
397407.0,4095.0,3160.0
397410.0,4095.0,3160.0
397413.0,4095.0,3160.0
397416.0,4095.0,3160.0
397419.0,4095.0,3160.0
397422.0,4095.0,3160.0
397425.0,4095.0,3160.0
397428.0,4095.0,3160.0
397431.0,4095.0,3160.0
397434.0,4095.0,3160.0
397437.0,4095.0,3160.0
397440.0,4095.0,3160.0
397443.0,4095.0,3160.0
397446.0,4095.0,3160.0
397448.0,4095.0,3160.0
397451.0,4095.0,3160.0
397454.0,4095.0,3160.0
