Timestamp_ms,RawADC,Voltage_mV
346765.0,0.0,142.0
346768.0,0.0,142.0
346771.0,0.0,142.0
346774.0,0.0,142.0
346776.0,0.0,142.0
346779.0,0.0,142.0
346782.0,0.0,142.0
346785.0,0.0,142.0
346788.0,0.0,142.0
346791.0,0.0,142.0
346794.0,0.0,142.0
346797.0,0.0,142.0
346800.0,0.0,142.0
346803.0,0.0,142.0
346806.0,0.0,142.0
346809.0,0.0,142.0
346812.0,0.0,142.0
346815.0,0.0,142.0
346818.0,0.0,142.0
346820.0,0.0,142.0
346823.0,0.0,142.0
346826.0,0.0,142.0
346829.0,0.0,142.0
346832.0,0.0,142.0
346835.0,1.0,143.0
346838.0,1.0,143.0
346841.0,2.0,144.0
346844.0,3.0,144.0
346847.0,4.0,145.0
346850.0,7.0,148.0
346853.0,7.0,148.0
346856.0,9.0,149.0
346859.0,11.0,151.0
346862.0,14.0,154.0
346864.0,15.0,154.0
346867.0,16.0,155.0
346870.0,19.0,158.0
346873.0,24.0,162.0
346876.0,29.0,166.0
346879.0,33.0,169.0
346882.0,38.0,174.0
346885.0,43.0,178.0
346888.0,47.0,181.0
346891.0,51.0,184.0
346894.0,56.0,189.0
346897.0,58.0,190.0
346900.0,60.0,192.0
346903.0,61.0,193.0
346906.0,63.0,194.0
346909.0,64.0,195.0
346911.0,64.0,195.0
346914.0,66.0,197.0
346917.0,68.0,199.0
346920.0,68.0,199.0
346923.0,71.0,201.0
346926.0,76.0,205.0
346929.0,76.0,205.0
346932.0,79.0,208.0
346935.0,81.0,209.0
346938.0,81.0,209.0
346941.0,82.0,210.0
346944.0,84.0,212.0
346947.0,85.0,213.0
346950.0,86.0,213.0
346953.0,91.0,218.0
346956.0,97.0,223.0
346958.0,101.0,226.0
346961.0,104.0,228.0
346964.0,110.0,233.0
346967.0,114.0,237.0
346970.0,117.0,239.0
346973.0,120.0,242.0
346976.0,125.0,246.0
346979.0,124.0,245.0
346982.0,125.0,246.0
346985.0,124.0,245.0
346988.0,126.0,247.0
346991.0,126.0,247.0
346994.0,126.0,247.0
346997.0,127.0,248.0
347000.0,128.0,248.0
