Time_ms,ax,ay,az,gx,gy,gz
1772933778878.298,-0.0428,-0.0423,-0.9773,3.316,-9.852,-1.286
1772933778878.298,-0.0406,-0.0453,-0.9798,3.561,-9.826,-1.575
1772933778878.298,-0.0439,-0.0436,-0.9811,3.465,-10.098,-1.566
1772933778878.298,-0.0436,-0.0436,-0.9792,3.447,-10.159,-1.627
1772933778878.298,-0.042,-0.0451,-0.9797,3.246,-10.115,-1.698
1772933778878.298,-0.0415,-0.0461,-0.9786,3.255,-9.818,-1.663
1772933778878.298,-0.0447,-0.0447,-0.9814,3.15,-9.73,-1.452
1772933778878.298,-0.0434,-0.0448,-0.9817,3.15,-10.176,-1.759
1772933778878.298,-0.0454,-0.0447,-0.9782,3.377,-9.896,-1.724
1772933778878.298,-0.0443,-0.0417,-0.983,3.334,-9.73,-1.654
1772933778878.298,-0.0429,-0.0439,-0.9824,3.526,-9.695,-1.4
1772933778878.298,-0.0448,-0.0409,-0.9814,3.36,-9.686,-1.549
1772933778894.3242,-0.0438,-0.0425,-0.9825,3.754,-9.643,-1.391
1772933778894.3242,-0.0452,-0.0434,-0.9827,3.439,-9.8,-1.671
1772933778894.3242,-0.0411,-0.0448,-0.9833,3.482,-9.625,-1.724
1772933778894.3242,-0.0434,-0.0409,-0.9841,3.587,-9.599,-1.671
1772933778894.3242,-0.0433,-0.0412,-0.9842,3.544,-9.73,-1.715
1772933778894.3242,-0.0453,-0.0414,-0.9805,3.684,-9.643,-1.496
1772933778894.3242,-0.044,-0.0404,-0.9823,3.833,-9.66,-1.356
1772933778894.3242,-0.0447,-0.042,-0.9818,3.666,-9.59,-1.549
1772933778894.3242,-0.0449,-0.0429,-0.9817,3.771,-9.713,-1.802
1772933778894.3242,-0.0448,-0.0418,-0.9816,3.439,-9.809,-1.636
1772933778894.3242,-0.0438,-0.0433,-0.9782,3.561,-9.783,-1.689
1772933778894.3242,-0.0474,-0.0414,-0.982,3.587,-9.643,-1.575
1772933778894.3242,-0.0475,-0.0425,-0.9805,3.78,-9.896,-1.558
1772933778909.8538,-0.0454,-0.0445,-0.9797,3.736,-9.835,-1.706
1772933778909.8538,-0.0443,-0.041,-0.9841,3.631,-9.94,-1.698
1772933778909.8538,-0.0433,-0.0425,-0.9831,3.447,-9.835,-1.811
1772933778909.8538,-0.0464,-0.0429,-0.9834,3.658,-9.739,-1.61
1772933778909.8538,-0.0457,-0.0432,-0.983,3.623,-10.019,-1.741
1772933778909.8538,-0.0472,-0.0437,-0.9826,3.57,-9.905,-1.811
1772933778909.8538,-0.0492,-0.0451,-0.9825,3.518,-10.036,-1.75
1772933778909.8538,-0.0473,-0.0448,-0.9781,3.553,-9.887,-1.776
1772933778909.8538,-0.0483,-0.0459,-0.9794,3.369,-10.01,-1.881
1772933778909.8538,-0.0483,-0.0445,-0.9769,3.447,-9.992,-1.811
1772933778909.8538,-0.0463,-0.0454,-0.9776,3.272,-9.756,-1.785
1772933778909.8538,-0.0461,-0.0456,-0.9769,3.237,-9.826,-1.698
1772933778925.4014,-0.0468,-0.047,-0.9771,3.308,-9.87,-1.995
1772933778925.4014,-0.0479,-0.0481,-0.9763,3.194,-9.783,-1.916
1772933778925.4014,-0.0476,-0.0472,-0.9772,3.098,-9.607,-1.82
1772933778925.4014,-0.0483,-0.0476,-0.9756,3.115,-9.599,-1.82
1772933778925.4014,-0.0507,-0.047,-0.9777,3.159,-9.651,-1.864
1772933778925.4014,-0.0486,-0.0481,-0.9782,2.861,-9.441,-1.855
1772933778925.4014,-0.047,-0.048,-0.9768,2.73,-9.345,-1.75
1772933778925.4014,-0.0479,-0.0476,-0.9755,2.922,-9.476,-1.601
1772933778925.4014,-0.0493,-0.0459,-0.975,2.922,-9.783,-1.732
1772933778925.4014,-0.0481,-0.0467,-0.974,2.643,-9.336,-1.619
1772933778925.4014,-0.0478,-0.0493,-0.9755,2.765,-9.363,-1.785
1772933778925.4014,-0.0494,-0.0473,-0.9706,2.94,-9.52,-1.829
1772933778925.4014,-0.05,-0.0472,-0.9726,2.756,-9.24,-1.68
1772933778941.439,-0.0495,-0.0486,-0.9722,2.66,-9.31,-1.802
1772933778941.439,-0.0502,-0.0472,-0.9748,2.581,-8.934,-1.785
1772933778941.439,-0.0489,-0.0492,-0.976,2.625,-9.065,-1.689
1772933778941.439,-0.049,-0.0479,-0.9733,2.643,-9.188,-1.785
1772933778941.439,-0.0522,-0.0487,-0.9744,2.433,-9.065,-1.741
1772933778941.439,-0.051,-0.045,-0.9749,2.371,-9.012,-1.654
1772933778941.439,-0.05,-0.0457,-0.9732,2.301,-8.75,-1.654
1772933778941.439,-0.0501,-0.0475,-0.9735,2.275,-8.82,-1.776
1772933778941.439,-0.0508,-0.0458,-0.9739,2.214,-9.021,-1.829
1772933778941.439,-0.0498,-0.0468,-0.9749,2.188,-8.977,-1.873
1772933778941.439,-0.0517,-0.0459,-0.9749,2.389,-8.934,-1.837
1772933778941.439,-0.0511,-0.0432,-0.9767,2.275,-9.1,-1.741
1772933778941.439,-0.0509,-0.0436,-0.9761,2.371,-8.846,-1.82
1772933778957.0273,-0.0488,-0.045,-0.9734,2.126,-8.864,-1.627
1772933778957.0273,-0.0508,-0.0436,-0.9737,2.074,-8.759,-1.496
1772933778957.0273,-0.0535,-0.0432,-0.9755,2.083,-8.811,-1.829
1772933778957.0273,-0.0506,-0.0437,-0.9722,2.144,-8.636,-2.065
1772933778957.0273,-0.0515,-0.042,-0.9762,2.223,-8.724,-2.039
1772933778957.0273,-0.0522,-0.0449,-0.9758,2.257,-8.995,-1.855
1772933778957.0273,-0.0531,-0.0418,-0.9769,2.039,-8.706,-1.881
1772933778957.0273,-0.0529,-0.0436,-0.9771,2.039,-8.934,-1.978
1772933778957.0273,-0.053,-0.0444,-0.9767,1.96,-9.012,-2.021
1772933778957.0273,-0.0539,-0.0408,-0.9785,2.056,-8.977,-1.864
1772933778957.0273,-0.0523,-0.0428,-0.9751,1.873,-8.75,-1.96
1772933778957.0273,-0.0538,-0.041,-0.9768,2.091,-8.584,-1.768
1772933778972.1067,-0.0545,-0.0413,-0.9781,2.292,-8.575,-1.663
1772933778972.1067,-0.054,-0.0433,-0.9812,2.144,-8.627,-1.881
1772933778972.1067,-0.0531,-0.0407,-0.9805,2.38,-8.741,-1.899
1772933778972.1067,-0.0533,-0.044,-0.9792,2.45,-8.557,-1.82
1772933778972.1067,-0.0535,-0.04,-0.9784,2.397,-8.671,-2.021
1772933778972.1067,-0.0531,-0.0412,-0.9822,2.389,-8.601,-1.899
1772933778972.1067,-0.053,-0.0407,-0.9849,2.511,-8.715,-2.021
1772933778972.1067,-0.0511,-0.0425,-0.991,2.319,-8.75,-2.047
1772933778972.1067,-0.0516,-0.0423,-0.9865,2.424,-9.214,-2.039
1772933778972.1067,-0.0504,-0.0417,-0.9836,2.555,-8.995,-2.047
1772933778972.1067,-0.052,-0.0397,-0.9873,2.809,-9.117,-2.091
1772933778972.1067,-0.052,-0.0406,-0.9945,2.572,-9.109,-2.004
1772933778972.1067,-0.0534,-0.0403,-0.9982,2.817,-8.943,-1.732
1772933778988.1428,-0.0529,-0.0402,-0.9964,3.176,-9.284,-1.881
1772933778988.1428,-0.0548,-0.0402,-0.9959,3.229,-9.774,-1.864
1772933778988.1428,-0.057,-0.0379,-0.9961,3.553,-9.783,-1.689
1772933778988.1428,-0.0541,-0.0376,-1.0003,3.57,-9.651,-1.461
1772933778988.1428,-0.0509,-0.0337,-1.01,3.85,-10.062,-1.636
1772933778988.1428,-0.0474,-0.0348,-1.0087,4.121,-10.43,-1.741
1772933778988.1428,-0.0509,-0.032,-1.0069,4.69,-10.911,-1.811
1772933778988.1428,-0.0488,-0.0342,-1.0053,4.681,-11.182,-1.837
1772933778988.1428,-0.0487,-0.0346,-1.0073,4.952,-11.611,-1.934
1772933778988.1428,-0.0497,-0.0335,-1.0063,5.259,-11.918,-2.179
1772933778988.1428,-0.0479,-0.0345,-1.0071,5.206,-11.891,-2.161
1772933778988.1428,-0.0512,-0.037,-1.0034,5.495,-12.154,-1.986
1772933778988.1428,-0.0526,-0.0346,-0.9991,5.81,-12.801,-2.013
1772933779003.9897,-0.0514,-0.0382,-1.0017,5.862,-12.81,-1.96
1772933779003.9897,-0.0511,-0.04,-0.9993,5.775,-12.679,-1.934
1772933779003.9897,-0.052,-0.0406,-0.9961,5.862,-13.072,-2.065
1772933779003.9897,-0.0515,-0.0393,-0.9924,5.731,-12.889,-2.056
1772933779003.9897,-0.0498,-0.0415,-0.9914,5.679,-12.924,-2.144
1772933779003.9897,-0.0494,-0.0452,-0.9891,5.539,-13.16,-2.013
1772933779003.9897,-0.0519,-0.0457,-0.985,5.128,-13.055,-1.925
1772933779003.9897,-0.0536,-0.0492,-0.9801,4.786,-12.976,-2.144
1772933779003.9897,-0.0528,-0.0504,-0.9765,4.541,-13.064,-2.266
1772933779003.9897,-0.0528,-0.0533,-0.9778,4.287,-12.652,-2.047
1772933779003.9897,-0.0528,-0.054,-0.9748,3.85,-12.521,-2.109
1772933779003.9897,-0.0544,-0.0554,-0.9725,2.922,-12.224,-2.17
1772933779003.9897,-0.0537,-0.0592,-0.9658,2.441,-12.11,-2.074
1772933779019.1133,-0.0562,-0.0626,-0.9636,1.873,-11.865,-1.601
1772933779019.1133,-0.0537,-0.0614,-0.9611,1.768,-11.296,-1.566
1772933779019.1133,-0.0555,-0.0645,-0.9576,1.173,-11.113,-1.47
1772933779019.1133,-0.0535,-0.0625,-0.9585,0.542,-10.684,-1.374
1772933779019.1133,-0.0548,-0.0615,-0.9564,0.35,-10.369,-1.286
1772933779019.1133,-0.0551,-0.0639,-0.955,-0.009,-9.905,-1.347
1772933779019.1133,-0.0555,-0.0604,-0.9568,-0.429,-9.52,-1.032
1772933779019.1133,-0.0533,-0.0581,-0.9567,-0.735,-9.319,-0.989
1772933779019.1133,-0.053,-0.0553,-0.9564,-0.892,-8.855,-0.726
1772933779019.1133,-0.0532,-0.052,-0.9608,-0.998,-8.383,-0.726
1772933779019.1133,-0.0515,-0.0511,-0.966,-0.866,-8.12,-0.455
1772933779019.1133,-0.0513,-0.0481,-0.9654,-0.796,-7.91,-0.472
1772933779034.6785,-0.0514,-0.0426,-0.9707,-0.823,-7.875,-0.621
1772933779034.6785,-0.0529,-0.0386,-0.9735,-0.297,-7.849,-0.761
1772933779034.6785,-0.0499,-0.0345,-0.9814,-0.009,-7.831,-0.665
1772933779034.6785,-0.0475,-0.0312,-0.988,0.236,-7.997,-0.744
1772933779034.6785,-0.0477,-0.0253,-0.9897,0.814,-8.339,-0.761
1772933779034.6785,-0.0469,-0.0218,-0.9964,1.103,-8.514,-1.129
1772933779034.6785,-0.0445,-0.0229,-0.9978,1.601,-8.864,-1.426
1772933779034.6785,-0.0459,-0.0216,-1.0002,2.091,-9.214,-1.452
1772933779034.6785,-0.0451,-0.0228,-0.9997,2.756,-9.669,-1.68
1772933779034.6785,-0.0457,-0.0196,-1.0008,3.098,-10.229,-1.68
1772933779034.6785,-0.0462,-0.0222,-0.9992,3.342,-10.395,-2.065
1772933779034.6785,-0.0501,-0.0224,-0.9943,3.894,-10.85,-2.24
1772933779034.6785,-0.0495,-0.0276,-0.9928,4.287,-11.165,-2.572
1772933779049.7073,-0.0503,-0.0253,-0.9884,4.524,-11.366,-2.362
1772933779049.7073,-0.0522,-0.0274,-0.9895,4.681,-11.742,-2.415
1772933779049.7073,-0.051,-0.0303,-0.9912,4.585,-11.891,-2.52
1772933779049.7073,-0.0555,-0.0308,-0.9809,4.541,-12.119,-2.284
1772933779049.7073,-0.0552,-0.0287,-0.9762,4.69,-12.434,-2.476
1772933779049.7073,-0.0533,-0.0331,-0.9737,4.734,-12.066,-2.599
1772933779049.7073,-0.0558,-0.0369,-0.9701,4.786,-12.276,-2.511
1772933779049.7073,-0.0581,-0.0364,-0.9714,4.576,-12.162,-2.616
1772933779049.7073,-0.0606,-0.0415,-0.9639,4.585,-12.005,-2.415
1772933779049.7073,-0.0636,-0.0378,-0.96,4.296,-11.576,-2.196
1772933779049.7073,-0.0626,-0.0418,-0.9605,4.209,-11.156,-2.45
1772933779049.7073,-0.065,-0.0442,-0.9555,3.973,-10.894,-2.161
