Time_ms,ax,ay,az,gx,gy,gz
1772935212013.951,-0.04,0.0294,-0.9756,1.278,-8.592,-2.371
1772935212013.951,-0.0399,0.0268,-0.9719,1.452,-8.409,-2.38
1772935212013.951,-0.043,0.0244,-0.9717,1.522,-8.076,-2.188
1772935212013.951,-0.0444,0.0221,-0.9704,1.663,-8.321,-1.907
1772935212013.951,-0.0431,0.0209,-0.9712,1.488,-7.595,-1.741
1772935212013.951,-0.0455,0.0203,-0.9689,1.601,-7.114,-1.47
1772935212013.951,-0.0443,0.0185,-0.9708,1.855,-6.939,-1.575
1772935212013.951,-0.044,0.0185,-0.9729,2.223,-6.527,-1.295
1772935212029.1938,-0.0419,0.0179,-0.9739,2.301,-6.317,-0.954
1772935212029.1938,-0.0418,0.0187,-0.9741,2.362,-5.924,-1.032
1772935212029.1938,-0.037,0.0182,-0.9777,2.721,-6.064,-1.067
1772935212029.1938,-0.0354,0.0193,-0.9808,3.001,-5.338,-0.823
1772935212029.1938,-0.0348,0.0193,-0.983,3.482,-5.53,-0.613
1772935212029.1938,-0.0313,0.0184,-0.986,3.806,-5.171,-0.525
1772935212029.1938,-0.0325,0.0214,-0.9936,4.112,-5.206,-0.333
1772935212029.1938,-0.0273,0.0228,-0.9949,4.366,-5.128,-0.394
1772935212029.1938,-0.0264,0.0232,-1.0003,4.603,-5.232,-0.341
1772935212029.1938,-0.0256,0.0232,-1.0029,5.171,-5.6,-0.219
1772935212029.1938,-0.0251,0.0244,-1.0053,5.617,-5.469,-0.236
1772935212029.1938,-0.0244,0.0268,-1.007,5.731,-5.758,-0.367
1772935212029.1938,-0.0237,0.0244,-1.0088,5.801,-6.02,-0.315
1772935212045.0723,-0.0226,0.0256,-1.0067,6.081,-6.309,-0.219
1772935212045.0723,-0.02,0.0242,-1.0088,6.37,-6.799,-0.429
1772935212045.0723,-0.0204,0.026,-1.0103,6.545,-7.14,-0.446
1772935212045.0723,-0.0229,0.0265,-1.0082,6.589,-7.543,-0.446
1772935212045.0723,-0.0248,0.027,-1.0086,6.484,-7.971,-0.674
1772935212045.0723,-0.0246,0.0271,-1.0049,6.466,-8.225,-0.551
1772935212045.0723,-0.027,0.0253,-1.0092,6.274,-8.811,-0.682
