Timestamp_ms,RawADC,Voltage_mV
1046322.0,1258.0,1188.0
1046325.0,1508.0,1396.0
1046328.0,1894.0,1716.0
1046331.0,2159.0,1937.0
1046334.0,2116.0,1901.0
1046337.0,1704.0,1558.0
1046339.0,1303.0,1225.0
1046342.0,1264.0,1193.0
1046345.0,1572.0,1449.0
1046348.0,1948.0,1761.0
1046351.0,2159.0,1937.0
1046354.0,2027.0,1827.0
1046357.0,1580.0,1455.0
1046360.0,1237.0,1170.0
1046363.0,1284.0,1209.0
1046366.0,1638.0,1504.0
1046369.0,1999.0,1804.0
1046372.0,2155.0,1933.0
1046375.0,1940.0,1755.0
1046378.0,1484.0,1376.0
1046381.0,1219.0,1155.0
1046384.0,1351.0,1265.0
1046387.0,1737.0,1586.0
1046390.0,2077.0,1869.0
1046393.0,2174.0,1949.0
1046395.0,1884.0,1708.0
1046398.0,1436.0,1336.0
1046401.0,1257.0,1187.0
1046404.0,1464.0,1359.0
1046407.0,1861.0,1689.0
1046410.0,2168.0,1944.0
1046413.0,2193.0,1965.0
1046416.0,1834.0,1667.0
1046419.0,1409.0,1313.0
1046422.0,1313.0,1233.0
1046425.0,1586.0,1460.0
1046428.0,1980.0,1788.0
1046431.0,2240.0,2004.0
1046434.0,2189.0,1962.0
1046437.0,1779.0,1621.0
1046440.0,1394.0,1301.0
1046443.0,1382.0,1291.0
1046446.0,1709.0,1563.0
1046448.0,2091.0,1880.0
1046451.0,2299.0,2053.0
1046454.0,2160.0,1938.0
1046457.0,1719.0,1571.0
1046460.0,1394.0,1301.0
1046463.0,1463.0,1358.0
1046466.0,1829.0,1662.0
1046469.0,2189.0,1962.0
1046472.0,2336.0,2084.0
1046475.0,2110.0,1896.0
1046478.0,1657.0,1519.0
1046481.0,1405.0,1310.0
1046484.0,1551.0,1431.0
1046487.0,1936.0,1751.0
1046490.0,2267.0,2026.0
1046493.0,2346.0,2092.0
1046496.0,2041.0,1839.0
1046499.0,1594.0,1467.0
1046502.0,1425.0,1327.0
1046504.0,1645.0,1509.0
1046507.0,2038.0,1836.0
1046510.0,2328.0,2077.0
1046513.0,2335.0,2083.0
1046516.0,1963.0,1774.0
1046519.0,1544.0,1425.0
1046522.0,1464.0,1359.0
1046525.0,1751.0,1598.0
1046528.0,2140.0,1921.0
1046531.0,2385.0,2125.0
1046534.0,2314.0,2066.0
1046537.0,1896.0,1718.0
1046540.0,1524.0,1409.0
1046543.0,1530.0,1414.0
1046546.0,1868.0,1695.0
1046549.0,2248.0,2011.0
1046552.0,2443.0,2173.0
1046555.0,2290.0,2046.0
1046557.0,1847.0,1677.0
1046560.0,1538.0,1420.0
1046563.0,1628.0,1495.0
1046566.0,2000.0,1805.0
1046569.0,2355.0,2100.0
1046572.0,2488.0,2210.0
1046575.0,2247.0,2010.0
1046578.0,1796.0,1635.0
1046581.0,1565.0,1443.0
1046584.0,1730.0,1580.0
1046587.0,2118.0,1903.0
1046590.0,2439.0,2169.0
1046593.0,2505.0,2224.0
1046596.0,2186.0,1959.0
1046599.0,1745.0,1593.0
1046602.0,1596.0,1469.0
1046605.0,1826.0,1660.0
1046608.0,2218.0,1986.0
1046611.0,2498.0,2219.0
1046613.0,2487.0,2209.0
1046616.0,2105.0,1892.0
1046619.0,1692.0,1549.0
1046622.0,1626.0,1494.0
1046625.0,1915.0,1734.0
1046628.0,2298.0,2052.0
1046631.0,2529.0,2244.0
1046634.0,2439.0,2169.0
1046637.0,2012.0,1815.0
1046640.0,1648.0,1512.0
1046643.0,1664.0,1525.0
1046646.0,2002.0,1806.0
1046649.0,2372.0,2114.0
1046652.0,2548.0,2260.0
1046655.0,2372.0,2114.0
1046658.0,1923.0,1741.0
1046661.0,1625.0,1493.0
1046664.0,1721.0,1573.0
1046666.0,2091.0,1880.0
1046669.0,2435.0,2166.0
1046672.0,2549.0,2261.0
1046675.0,2296.0,2051.0
1046678.0,1841.0,1672.0
1046681.0,1619.0,1488.0
1046684.0,1790.0,1630.0
1046687.0,2177.0,1952.0
1046690.0,2489.0,2211.0
1046693.0,2536.0,2250.0
1046696.0,2206.0,1976.0
1046699.0,1767.0,1611.0
1046702.0,1631.0,1498.0
1046705.0,1872.0,1698.0
1046708.0,2263.0,2023.0
1046711.0,2535.0,2249.0
1046714.0,2511.0,2229.0
1046717.0,2119.0,1903.0
1046719.0,1716.0,1568.0
1046722.0,1668.0,1529.0
1046725.0,1972.0,1781.0
1046728.0,2356.0,2100.0
1046731.0,2582.0,2288.0
1046734.0,2471.0,2196.0
1046737.0,2040.0,1838.0
1046740.0,1691.0,1548.0
1046743.0,1724.0,1575.0
1046746.0,2071.0,1864.0
1046749.0,2436.0,2167.0
1046752.0,2609.0,2311.0
1046755.0,2407.0,2143.0
1046758.0,1956.0,1768.0
1046761.0,1675.0,1534.0
1046764.0,1787.0,1627.0
1046767.0,2163.0,1940.0
1046770.0,2502.0,2222.0
1046773.0,2611.0,2312.0
1046775.0,2328.0,2077.0
1046778.0,1877.0,1702.0
1046781.0,1674.0,1534.0
1046784.0,1862.0,1690.0
1046787.0,2251.0,2013.0
1046790.0,2555.0,2266.0
