Timestamp_ms,RawADC,Voltage_mV
398001.0,669.0,698.0
398004.0,646.0,679.0
398007.0,626.0,662.0
398010.0,606.0,646.0
398013.0,589.0,632.0
398016.0,575.0,620.0
398019.0,561.0,608.0
398022.0,550.0,599.0
398024.0,535.0,587.0
398027.0,521.0,575.0
398030.0,503.0,560.0
398033.0,488.0,548.0
398036.0,471.0,534.0
398039.0,456.0,521.0
398042.0,439.0,507.0
398045.0,422.0,493.0
398048.0,404.0,478.0
398051.0,387.0,464.0
398054.0,371.0,450.0
398057.0,354.0,436.0
398060.0,337.0,422.0
398063.0,322.0,410.0
398066.0,304.0,395.0
398069.0,285.0,379.0
398072.0,268.0,365.0
398074.0,250.0,350.0
398077.0,231.0,334.0
398080.0,211.0,317.0
398083.0,195.0,304.0
398086.0,178.0,290.0
398089.0,159.0,274.0
398092.0,141.0,259.0
398095.0,123.0,244.0
398098.0,105.0,229.0
398101.0,87.0,214.0
398104.0,70.0,200.0
398107.0,54.0,187.0
398110.0,38.0,174.0
398113.0,21.0,159.0
398116.0,5.0,146.0
398119.0,0.0,142.0
398122.0,0.0,142.0
398124.0,0.0,142.0
398127.0,0.0,142.0
398130.0,0.0,142.0
398133.0,0.0,142.0
398136.0,0.0,142.0
398139.0,0.0,142.0
398142.0,0.0,142.0
398145.0,0.0,142.0
398148.0,0.0,142.0
398151.0,0.0,142.0
398154.0,0.0,142.0
398157.0,0.0,142.0
398160.0,0.0,142.0
398163.0,0.0,142.0
398166.0,0.0,142.0
398168.0,0.0,142.0
398171.0,0.0,142.0
398174.0,0.0,142.0
398177.0,0.0,142.0
398180.0,0.0,142.0
398183.0,0.0,142.0
398186.0,0.0,142.0
398189.0,0.0,142.0
398192.0,0.0,142.0
398195.0,0.0,142.0
398198.0,0.0,142.0
398201.0,0.0,142.0
398204.0,0.0,142.0
398207.0,0.0,142.0
398210.0,0.0,142.0
398212.0,0.0,142.0
398215.0,0.0,142.0
398218.0,0.0,142.0
398221.0,0.0,142.0
398224.0,0.0,142.0
398227.0,0.0,142.0
398230.0,0.0,142.0
398233.0,0.0,142.0
398236.0,0.0,142.0
