Timestamp_ms,RawADC,Voltage_mV
666987.0,1336.0,1253.0
666990.0,1612.0,1482.0
666993.0,1992.0,1798.0
666996.0,2239.0,2003.0
666999.0,2178.0,1953.0
667002.0,1777.0,1619.0
667005.0,1418.0,1321.0
667008.0,1428.0,1329.0
667011.0,1765.0,1609.0
667014.0,2144.0,1924.0
667017.0,2353.0,2098.0
667020.0,2225.0,1992.0
667023.0,1817.0,1652.0
667026.0,1539.0,1421.0
667029.0,1651.0,1514.0
667032.0,2038.0,1836.0
667035.0,2410.0,2145.0
667038.0,2576.0,2283.0
667040.0,2372.0,2114.0
667043.0,1958.0,1770.0
667046.0,1742.0,1590.0
667049.0,1900.0,1721.0
667052.0,2277.0,2035.0
667055.0,2591.0,2296.0
667058.0,2657.0,2351.0
667061.0,2338.0,2086.0
667064.0,1894.0,1716.0
667067.0,1722.0,1573.0
667070.0,1918.0,1736.0
667073.0,2277.0,2035.0
667076.0,2535.0,2249.0
667079.0,2521.0,2238.0
667082.0,2137.0,1918.0
667085.0,1712.0,1565.0
667088.0,1615.0,1484.0
667090.0,1866.0,1693.0
667093.0,2216.0,1984.0
667096.0,2428.0,2160.0
667099.0,2333.0,2081.0
667102.0,1902.0,1723.0
667105.0,1519.0,1405.0
667108.0,1503.0,1391.0
667111.0,1808.0,1645.0
667114.0,2153.0,1932.0
667117.0,2325.0,2075.0
667120.0,2156.0,1934.0
667123.0,1707.0,1561.0
667126.0,1389.0,1297.0
667129.0,1455.0,1351.0
667132.0,1799.0,1637.0
667135.0,2127.0,1910.0
667138.0,2246.0,2009.0
667141.0,1996.0,1801.0
667143.0,1539.0,1421.0
667146.0,1293.0,1217.0
667149.0,1430.0,1331.0
667152.0,1792.0,1632.0
667155.0,2092.0,1881.0
667158.0,2149.0,1928.0
667161.0,1824.0,1658.0
667164.0,1381.0,1290.0
667167.0,1216.0,1153.0
667170.0,1422.0,1324.0
667173.0,1792.0,1632.0
667176.0,2061.0,1855.0
667179.0,2052.0,1848.0
667182.0,1672.0,1532.0
667185.0,1261.0,1190.0
667188.0,1183.0,1125.0
667191.0,1453.0,1350.0
667194.0,1823.0,1657.0
667196.0,2053.0,1849.0
667199.0,1968.0,1778.0
667202.0,1549.0,1430.0
667205.0,1188.0,1130.0
667208.0,1191.0,1132.0
667211.0,1512.0,1399.0
667214.0,1869.0,1696.0
667217.0,2052.0,1848.0
667220.0,1888.0,1711.0
667223.0,1447.0,1345.0
667226.0,1146.0,1095.0
667229.0,1225.0,1160.0
667232.0,1575.0,1451.0
667235.0,1909.0,1729.0
667238.0,2030.0,1829.0
667241.0,1784.0,1625.0
667244.0,1334.0,1251.0
667246.0,1101.0,1057.0
667249.0,1248.0,1179.0
667252.0,1615.0,1484.0
667255.0,1918.0,1736.0
667258.0,1977.0,1785.0
667261.0,1659.0,1521.0
667264.0,1225.0,1160.0
667267.0,1072.0,1033.0
667270.0,1287.0,1212.0
667273.0,1660.0,1522.0
667276.0,1929.0,1746.0
667279.0,1919.0,1737.0
667282.0,1542.0,1424.0
667285.0,1140.0,1090.0
667288.0,1069.0,1031.0
667291.0,1348.0,1263.0
667294.0,1727.0,1578.0
667297.0,1965.0,1775.0
667299.0,1896.0,1718.0
667302.0,1498.0,1387.0
667305.0,1162.0,1108.0
667308.0,1197.0,1137.0
667311.0,1550.0,1430.0
667314.0,1940.0,1755.0
667317.0,2158.0,1936.0
667320.0,2028.0,1828.0
667323.0,1628.0,1495.0
667326.0,1366.0,1278.0
667329.0,1487.0,1378.0
667332.0,1876.0,1701.0
667335.0,2243.0,2007.0
667338.0,2395.0,2133.0
667341.0,2177.0,1952.0
667344.0,1761.0,1606.0
667347.0,1551.0,1431.0
667350.0,1728.0,1578.0
667352.0,2111.0,1897.0
667355.0,2427.0,2159.0
667358.0,2494.0,2215.0
667361.0,2179.0,1953.0
667364.0,1745.0,1593.0
667367.0,1590.0,1464.0
667370.0,1797.0,1636.0
667373.0,2157.0,1935.0
667376.0,2415.0,2150.0
667379.0,2396.0,2134.0
667382.0,2013.0,1815.0
667385.0,1603.0,1475.0
667388.0,1522.0,1407.0
667391.0,1792.0,1632.0
667394.0,2150.0,1929.0
667397.0,2366.0,2109.0
667400.0,2273.0,2031.0
667402.0,1852.0,1682.0
667405.0,1491.0,1381.0
667408.0,1498.0,1387.0
667411.0,1820.0,1655.0
667414.0,2170.0,1946.0
667417.0,2340.0,2087.0
667420.0,2169.0,1945.0
667423.0,1732.0,1582.0
667426.0,1443.0,1342.0
667429.0,1547.0,1428.0
667432.0,1929.0,1746.0
667435.0,2300.0,2054.0
667438.0,2472.0,2197.0
667441.0,2292.0,2047.0
667444.0,1937.0,1752.0
667447.0,1825.0,1659.0
667450.0,2128.0,1911.0
667453.0,2683.0,2372.0
667455.0,3273.0,2778.0
667458.0,3677.0,2981.0
667461.0,3486.0,2891.0
667464.0,3149.0,2705.0
667467.0,3172.0,2719.0
667470.0,3713.0,2997.0
667473.0,4095.0,3160.0
667476.0,4095.0,3160.0
667479.0,4095.0,3160.0
667482.0,3913.0,3085.0
667485.0,3458.0,2877.0
667488.0,3544.0,2919.0
667491.0,4050.0,3141.0
667494.0,4095.0,3160.0
667497.0,4095.0,3160.0
667500.0,4095.0,3160.0
667503.0,3989.0,3117.0
667506.0,3722.0,3001.0
667508.0,3990.0,3117.0
667511.0,4095.0,3160.0
667514.0,4095.0,3160.0
667517.0,4095.0,3160.0
667520.0,4090.0,3158.0
667523.0,3700.0,2991.0
667526.0,3372.0,2832.0
667529.0,3595.0,2943.0
667532.0,4073.0,3151.0
667535.0,4095.0,3160.0
667538.0,4095.0,3160.0
667541.0,3891.0,3076.0
667544.0,3189.0,2729.0
667547.0,2882.0,2538.0
667550.0,3000.0,2612.0
667553.0,3387.0,2840.0
667556.0,3743.0,3011.0
667559.0,3680.0,2982.0
667561.0,3084.0,2665.0
667564.0,2520.0,2237.0
667567.0,2281.0,2038.0
667570.0,2400.0,2137.0
667573.0,2661.0,2354.0
667576.0,2812.0,2480.0
667579.0,2661.0,2354.0
667582.0,2150.0,1929.0
667585.0,1632.0,1499.0
667588.0,1450.0,1347.0
667591.0,1616.0,1485.0
667594.0,1864.0,1691.0
667597.0,1966.0,1776.0
667600.0,1752.0,1598.0
667603.0,1217.0,1154.0
667606.0,767.0,780.0
667609.0,693.0,718.0
667611.0,926.0,912.0
667614.0,1195.0,1135.0
667617.0,1285.0,1210.0
667620.0,1028.0,997.0
667623.0,526.0,579.0
667626.0,192.0,302.0
667629.0,231.0,334.0
667632.0,524.0,578.0
667635.0,798.0,805.0
667638.0,865.0,861.0
667641.0,568.0,614.0
667644.0,113.0,236.0
667647.0,0.0,142.0
667650.0,40.0,175.0
667653.0,327.0,414.0
667656.0,583.0,627.0
667659.0,595.0,637.0
667661.0,240.0,342.0
667664.0,0.0,142.0
667667.0,0.0,142.0
667670.0,54.0,187.0
667673.0,330.0,416.0
667676.0,536.0,588.0
667679.0,472.0,534.0
667682.0,95.0,221.0
667685.0,0.0,142.0
667688.0,0.0,142.0
667691.0,105.0,229.0
667694.0,410.0,483.0
667697.0,601.0,642.0
667700.0,494.0,553.0
667703.0,100.0,225.0
667706.0,0.0,142.0
667708.0,3.0,144.0
667711.0,231.0,334.0
667714.0,578.0,622.0
667717.0,768.0,780.0
667720.0,629.0,665.0
667723.0,229.0,332.0
667726.0,2.0,144.0
667729.0,77.0,206.0
667732.0,437.0,505.0
667735.0,786.0,795.0
667738.0,929.0,914.0
667741.0,703.0,726.0
667744.0,274.0,370.0
667747.0,46.0,180.0
667750.0,178.0,290.0
667753.0,529.0,582.0
667756.0,828.0,830.0
667758.0,894.0,885.0
667761.0,592.0,634.0
667764.0,175.0,287.0
667767.0,21.0,159.0
667770.0,223.0,327.0
667773.0,581.0,625.0
667776.0,842.0,842.0
667779.0,833.0,834.0
667782.0,462.0,526.0
667785.0,64.0,195.0
667788.0,0.0,142.0
667791.0,135.0,254.0
667794.0,413.0,485.0
667797.0,548.0,598.0
667800.0,357.0,439.0
667803.0,10.0,150.0
667805.0,0.0,142.0
667808.0,0.0,142.0
667811.0,55.0,188.0
667814.0,292.0,385.0
667817.0,431.0,500.0
667820.0,282.0,376.0
667823.0,7.0,148.0
667826.0,0.0,142.0
667829.0,17.0,156.0
667832.0,304.0,395.0
667835.0,653.0,685.0
667838.0,828.0,830.0
667841.0,675.0,703.0
667844.0,328.0,415.0
667847.0,189.0,299.0
667850.0,432.0,501.0
667852.0,919.0,906.0
667855.0,1370.0,1281.0
667858.0,1596.0,1469.0
667861.0,1435.0,1335.0
667864.0,1132.0,1083.0
667867.0,1074.0,1035.0
667870.0,1372.0,1283.0
667873.0,1833.0,1666.0
667876.0,2189.0,1962.0
667879.0,2267.0,2026.0
667882.0,1969.0,1779.0
667885.0,1608.0,1479.0
667888.0,1556.0,1435.0
667891.0,1859.0,1687.0
667894.0,2270.0,2029.0
667897.0,2551.0,2263.0
667900.0,2536.0,2250.0
667903.0,2184.0,1957.0
667905.0,1865.0,1692.0
667908.0,1903.0,1724.0
667911.0,2271.0,2030.0
667914.0,2689.0,2377.0
667917.0,2950.0,2577.0
667920.0,2858.0,2518.0
667923.0,2468.0,2194.0
667926.0,2203.0,1973.0
667929.0,2307.0,2060.0
667932.0,2695.0,2382.0
667935.0,3112.0,2683.0
667938.0,3341.0,2815.0
667941.0,3102.0,2676.0
667944.0,2664.0,2356.0
667947.0,2452.0,2180.0
667950.0,2629.0,2327.0
667953.0,3074.0,2659.0
667955.0,3577.0,2934.0
667958.0,3794.0,3033.0
667961.0,3407.0,2850.0
667964.0,2932.0,2568.0
667967.0,2821.0,2487.0
667970.0,3140.0,2700.0
667973.0,3817.0,3043.0
667976.0,4095.0,3160.0
667979.0,4095.0,3160.0
667982.0,3839.0,3053.0
667985.0,3285.0,2784.0
667988.0,3215.0,2745.0
667991.0,3636.0,2961.0
667994.0,4086.0,3156.0
667997.0,4095.0,3160.0
668000.0,4063.0,3147.0
668003.0,3435.0,2865.0
668006.0,2893.0,2545.0
668009.0,2813.0,2480.0
668011.0,3080.0,2663.0
668014.0,3451.0,2873.0
668017.0,3607.0,2948.0
668020.0,3244.0,2761.0
668023.0,2635.0,2332.0
668026.0,2218.0,1986.0
668029.0,2175.0,1950.0
